,Lowest Rates,LL,"* ""As Low As"" for Landlines",Mob,"* ""As Low As"" for Mobiles"
AFGHANISTAN,$0.75,$0.75,,$0.75,
ALBANIA,$0.40,$0.40,,$0.40,
ALGERIA,$0.44,$0.44,,$0.44,
AMERICAN SAMOA,$0.40,$0.40,,$0.40,
ANDORRA,$0.71,$0.71,,$0.71,
ANGOLA,$0.40,$0.40,,$0.40,
ANGUILLA,$0.35,$0.35,,$0.35,
ANTIGUA/BARBUDA,$0.35,$0.35,,$0.45,
ARGENTINA,$0.47,$0.47,,$0.47,
ARMENIA,$0.30,$0.30,,$0.30,
ARUBA,$0.25,$0.25,,$0.25,
ASCENSION ISLAND,$2.00,$2.00,,$2.00,
AUSTRALIA,$0.25,$0.25,,$0.25,As low as rate
AUSTRALIAN TERR,$4.00,$4.00,,$4.00,
AUSTRIA,$0.36,$0.36,,$0.36,
AZERBAIJAN,$0.35,$0.35,,$0.35,
BAHAMAS,$0.25,$0.25,,$0.25,
BAHRAIN,$0.35,$0.35,,$0.35,
BANGLADESH,$0.36,$0.36,,$0.36,
BARBADOS,$0.35,$0.35,,$0.46,As low as rate
BELARUS,$0.35,$0.35,,$0.35,As low as rate
BELGIUM,$0.35,$0.35,,$0.35,As low as rate
BELIZE,$0.22,$0.22,,$0.22,
BENIN,$0.25,$0.25,,$0.25,
BERMUDA,$0.20,$0.20,,$0.20,
BHUTAN,$0.50,$0.50,,$0.50,
BOLIVIA,$0.32,$0.32,,$0.32,
BOSNIA/HERZEGOVINA,$0.35,$0.35,,$0.35,
BOTSWANA,$0.30,$0.30,,$0.30,
BRAZIL,$0.28,$0.28,,$0.28,
BRUNEI,$0.90,$0.90,,$0.90,
BULGARIA,$0.50,$0.50,,$0.50,
BURKINA FASO,$0.50,$0.50,,$0.50,
BURUNDI,$1.00,$1.00,,$1.00,
BVI (TORTOLA),$0.35,$0.35,,$0.35,
CAMBODIA,$0.10,$0.10,,$0.10,
CAMEROON,$0.35,$0.35,,$0.40,
CANADA,$0.10,$0.10,,$0.10,
CAPE VERDE ISLANDS,$0.50,$0.50,,$0.50,
CAYMAN ISLANDS,$0.20,$0.20,,$0.29,
CENTRAL AFRICAN REP,$0.60,$0.60,,$0.60,
CHAD,$0.60,$0.60,,$0.60,
CHILE,$0.35,$0.35,As low as rate,$0.35,As low as rate
CHINA,$0.15,$0.15,,$0.15,
COLOMBIA,$0.15,$0.15,As low as rate,$0.15,
COMOROS,$0.50,$0.50,,$0.50,As low as rate
CONGO DEM REP(ZAIRE),$0.60,$0.60,,$0.60,As low as rate
CONGO,$0.80,$0.80,,$0.80,
COOK ISLANDS,$4.00,$4.00,,$4.00,
COSTA RICA,$0.04,$0.04,,$0.07,As low as rate
CROATIA,$0.15,$0.15,,$0.44,
CUBA,$0.99,$0.99,,$0.99,
CYPRUS,$0.33,$0.33,,$0.33,
CZECH REPUBLIC,$0.33,$0.33,,$0.33,
DENMARK,$0.27,$0.27,,$0.27,
DIEGO GARCIA,$2.50,$2.50,,$2.50,
DJIBOUTI,$0.75,$0.75,,$0.75,
DOMINICA,$0.50,$0.50,,$0.50,
DOMINICAN REPUBLIC,$0.10,$0.10,,$0.15,
EAST TIMOR,$1.40,$1.40,,$1.40,
ECUADOR,$0.39,$0.39,,$0.39,
EGYPT,$0.35,$0.35,,$0.35,
EL SALVADOR,$0.18,$0.18,as low as rate,$0.16,As low as rate
EQUATORIAL GUINEA,$0.35,$0.40,,$0.35,
ERITREA,$0.50,$0.50,,$0.50,
ESTONIA,$0.62,$0.62,,$0.62,
ETHIOPIA,$1.00,$1.00,,$1.00,
FALKLAND ISLANDS,$1.75,$1.75,,$1.75,
FAROE ISLANDS,$0.35,$0.35,,$0.35,
FIJI,$0.50,$0.50,,$0.50,
FINLAND,$0.24,$0.24,,$0.24,
FRANCE,$0.31,$0.31,,$0.31,As low as rate
FRENCH GUIANA,$0.78,$0.78,,$0.78,
FRENCH POLYNESIA,$0.35,$0.35,,$0.35,
GABON,$0.60,$0.60,,$0.60,
GAMBIA,$1.00,$1.00,,$1.00,
GEORGIA,$0.25,$0.25,,$0.25,As low as rate
GERMANY,$0.31,$0.31,,$0.31,
GHANA,$0.39,$0.39,,$0.39,
GIBRALTAR,$0.56,$0.56,,$0.56,
GREECE,$0.37,$0.37,,$0.37,
GREENLAND,$0.70,$0.70,,$0.70,
GRENADA,$0.35,$0.35,,$0.46,As low as rate
GUADELOUPE,$0.70,$0.70,,$0.70,
GUATEMALA,$0.09,$0.09,As low as rate,$0.12,As low as rate
GUINEA,$0.50,$0.50,,$0.50,
GUINEA-BISSAU,$0.50,$0.50,,$1.25,
GUYANA,$0.90,$0.90,,$0.90,
HAITI,$0.25,$0.25,,$0.50,
HONDURAS,$0.13,$0.13,As low as rate,$0.13,
HONG KONG,$0.10,$0.10,,$0.10,
HUNGARY,$0.51,$0.51,,$0.51,
ICELAND,$0.52,$0.52,,$0.52,
INDIA,$0.30,$0.30,,$0.30,
INDONESIA,$0.34,$0.34,,$0.34,As low as rate
IRAN,$0.41,$0.41,,$0.41,
IRAQ,$0.20,$0.20,,$0.20,
IRELAND,$0.33,$0.33,,$0.33,As low as rate
ISRAEL,$0.16,$0.16,as low as rate,$0.16,
ITALY,$0.35,$0.35,,$0.35,
IVORY COAST,$0.35,$0.35,,$0.45,As low as rate
JAMAICA,$0.25,$0.25,,$0.30,
